Iteration,Metric,Min,Avg,Std,Max
0,Susceptible,0.95,0.9799999999999999,0.010307764064044175,0.9875
0,Infected,0.0125,0.019999999999999997,0.01030776406404415,0.05
0,Recovered_Immune,0.0,0.0,0.0,0.0
0,Death,0.0,0.0,0.0,0.0
0,Asymptomatic,1.0,1.0,0.0,1.0
0,Hospitalization,0.0,0.0,0.0,0.0
0,Severe,0.0,0.0,0.0,0.0
0,Q1,378.99999999999994,389.5630782094512,3.249101597170566,396.1158882913021
0,Q2,762.0000000000002,778.9571889892293,6.027138340957546,794.1646879402904
0,Q3,1237.913511044971,1265.9400085755472,8.76057529164724,1283.75
0,Q4,1910.1381103560411,1944.4721342451264,15.519294701336069,1969.9999999999998
0,Q5,5338.314171712793,5454.491732689993,39.73500867875675,5516.2416889971955
1,Susceptible,0.9375,0.9792499999999998,0.011349559462816185,0.9875
1,Infected,0.0125,0.020749999999999998,0.011349559462816166,0.0625
1,Recovered_Immune,0.0,0.0,0.0,0.0
1,Death,0.0,0.0,0.0,0.0
1,Asymptomatic,1.0,1.0,0.0,1.0
1,Hospitalization,0.0,0.0,0.0,0.0
1,Severe,0.0,0.0,0.0,0.0
1,Q1,359.15054252906253,379.02563603588993,6.210014744808518,390.83337492858175
1,Q2,727.1304521794386,758.0690810910488,11.512997583272648,788.1646879402904
1,Q3,1176.4642266098485,1230.7795993218017,17.620001883600835,1269.5637911205079
1,Q4,1823.3744722374895,1889.0613222894256,30.5859971574738,1943.5938890566626
1,Q5,5072.314171712793,5308.478127824478,77.84929104293741,5432.2416889971955
2,Susceptible,0.9375,0.9792499999999998,0.011349559462816185,0.9875
2,Infected,0.0125,0.020749999999999998,0.011349559462816166,0.0625
2,Recovered_Immune,0.0,0.0,0.0,0.0
2,Death,0.0,0.0,0.0,0.0
2,Asymptomatic,0.9875,0.9997499999999999,0.0017499999999999937,1.0
2,Hospitalization,0.0,0.00025,0.0017500000000000005,0.0125
2,Severe,0.0,0.0,0.0,0.0
2,Q1,339.7208914079729,368.6462340703609,9.134967934173703,385.0
2,Q2,691.4866942703948,736.9556174905083,17.084705838906217,782.1646879402904
2,Q3,1113.425727833585,1196.0022010313953,26.503813550441176,1254.1781781059335
2,Q4,1734.1540206686177,1833.78327915164,46.56498163861735,1914.204642826133
