Iteration,Metric,Min,Avg,Std,Max
0,Susceptible,0.8875,0.9295,0.011390785749894519,0.9375
0,Infected,0.0125,0.020499999999999997,0.011390785749894519,0.0625
0,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
0,Death,0.0,0.0,0.0,0.0
0,Asymptomatic,1.0,1.0,0.0,1.0
0,Hospitalization,0.0,0.0,0.0,0.0
0,Severe,0.0,0.0,0.0,0.0
0,Q1,402.38050625892936,420.2344493691187,9.743516023948622,444.744032289669
0,Q2,803.7195708428126,840.3782774003405,16.904924247032557,885.3257695704588
0,Q3,1319.9907888662292,1365.5682386254648,29.670835736728172,1468.8208723483021
0,Q4,1996.0096785635114,2089.9525637059423,46.35350653843837,2223.5110025455892
0,Q5,5672.926126958813,5889.696755697124,127.4932998990433,6324.16274389472
1,Susceptible,0.8625,0.9182499999999999,0.020032785627565625,0.9375
1,Infected,0.0125,0.03175,0.02003278562756563,0.0875
1,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
1,Death,0.0,0.0,0.0,0.0
1,Asymptomatic,1.0,1.0,0.0,1.0
1,Hospitalization,0.0,0.0,0.0,0.0
1,Severe,0.0,0.0,0.0,0.0
1,Q1,409.9076049118001,443.039367513247,16.080981344358268,481.6164647535068
1,Q2,829.1000614967552,879.4975605460829,27.367031514623303,957.2409261085043
1,Q3,1358.2318522376443,1428.9486513551064,44.837891392322504,1562.6160191387655
1,Q4,2005.21975956764,2190.235908492211,80.19708629290969,2415.442398170978
1,Q5,5901.136272162912,6190.254718167561,243.86312868446086,7285.950978528332
2,Susceptible,0.8,0.9062500000000001,0.032331292890943907,0.9375
2,Infected,0.0125,0.04375000000000001,0.032331292890943907,0.15
2,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
2,Death,0.0,0.0,0.0,0.0
2,Asymptomatic,0.975,0.99925,0.003881043674065006,1.0
2,Hospitalization,0.0,0.0007500000000000001,0.0038810436740650068,0.025
2,Severe,0.0,0.0,0.0,0.0
2,Q1,420.3843913934593,464.90247704606077,21.227300061127313,513.396406678466
2,Q2,852.4588942412746,919.2259078586408,33.7730667285673,1009.3947076583322
2,Q3,1377.0816594907037,1495.7974296556513,64.7139958238558,1685.880586469902
2,Q4,2016.9554201231176,2285.067018660931,113.69187943446671,2577.2323839177625
2,Q5,5993.8405196328085,6501.026250975669,349.10177657311795,8075.316049006855
3,Susceptible,0.75,0.8930000000000001,0.04324060591619872,0.9375
3,Infected,0.0125,0.057,0.04324060591619872,0.2
3,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
3,Death,0.0,0.0,0.0,0.0
3,Asymptomatic,0.975,0.9990000000000001,0.004213074886588177,1.0
3,Hospitalization,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
3,Severe,0.0,0.00025,0.0017500000000000005,0.0125
3,Q1,430.9666875909138,484.8938262409422,26.25303916225465,540.4672994476472
3,Q2,862.7283678400096,958.4910527104519,46.1741814575782,1069.5453120124098
3,Q3,1397.1944463396003,1563.421968831594,83.61212506635047,1788.7895589590123
3,Q4,2062.132631167125,2381.668290667893,146.53879275989053,2746.737210620027
3,Q5,6132.95860045128,6783.210030619383,436.31777496479714,8631.728509236369
4,Susceptible,0.725,0.8817500000000001,0.05081891872127938,0.9375
4,Infected,0.0125,0.06824999999999999,0.05081891872127938,0.225
4,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
4,Death,0.0,0.0,0.0,0.0
4,Asymptomatic,0.975,0.9990000000000001,0.004213074886588177,1.0
4,Hospitalization,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
4,Severe,0.0,0.00025,0.0017500000000000005,0.0125
4,Q1,451.3512212152852,504.5140731698157,30.52068427266453,562.1827410827792
4,Q2,878.2616280570887,999.8083518010029,58.7470547901698,1125.1138262472355
4,Q3,1412.05102801692,1629.2976884576553,106.73138907360602,1947.5798685727364
4,Q4,2098.124866353958,2472.0508093006833,173.94720875018976,2932.689551604087
4,Q5,6241.738951453245,7073.093965409667,512.5621242744223,9223.854749561478
5,Susceptible,0.6875,0.8672500000000001,0.05910213617120789,0.9375
5,Infected,0.0125,0.08275,0.05910213617120789,0.2625
5,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
5,Death,0.0,0.0,0.0,0.0
5,Asymptomatic,0.975,0.998,0.005220153254455267,1.0
5,Hospitalization,0.0,0.00125,0.00375,0.0125
5,Severe,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
5,Q1,463.38557799741363,524.0450114269775,35.42703613235179,585.949276208871
5,Q2,912.4423701634545,1040.2776193709387,68.44654043313928,1170.0940549744164
5,Q3,1438.4753443901775,1696.0908346192903,128.16586934614492,2086.2100799364976
5,Q4,2139.0292724613014,2564.2552256329623,204.2441460332862,3052.0715531090977
5,Q5,6296.503019801652,7344.6847898938795,585.2328372660019,9328.294729506375
6,Susceptible,0.6875,0.8537500000000001,0.0663913586244475,0.9375
6,Infected,0.0125,0.09625000000000002,0.0663913586244475,0.2625
6,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
6,Death,0.0,0.0,0.0,0.0
6,Asymptomatic,0.975,0.9969999999999999,0.0058949130612757855,1.0
6,Hospitalization,0.0,0.002,0.0045825756949558405,0.0125
6,Severe,0.0,0.001,0.003391164991562634,0.0125
6,Q1,469.602458446046,543.7870637154886,41.810518727288375,623.7029252508328
6,Q2,932.6821524944011,1080.0590650996603,78.39947974875902,1221.613487496517
6,Q3,1421.0006980871012,1767.0704500665352,149.08154926112923,2185.483264885173
6,Q4,2176.1210248903385,2651.9472348579216,228.61881915212498,3212.0936468198784
6,Q5,6252.080505809999,7649.9013566965,667.1898468940981,9903.605793161365
7,Susceptible,0.6625,0.836,0.0741046557241851,0.9375
7,Infected,0.0125,0.11350000000000002,0.07407091196954443,0.2875
7,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
7,Death,0.0,0.0005,0.0024494897427831783,0.0125
7,Asymptomatic,0.975,0.9954999999999999,0.006964194138592048,1.0
7,Hospitalization,0.0,0.0027500000000000003,0.005178078794301995,0.0125
7,Severe,0.0,0.00125,0.0037500000000000003,0.0125
7,Q1,477.70010200838567,562.46233720442,47.38979533534761,660.3049508528042
7,Q2,963.4509688795301,1114.9083961022684,89.33932785096495,1278.551346654179
7,Q3,1406.9961902124817,1828.7144141596739,165.20929113706933,2271.917390820611
7,Q4,2186.2247553866923,2741.7141190385537,258.5476637638288,3378.7815326714535
7,Q5,6202.279884701088,7913.498870819828,772.5396951144486,10631.249997388171
8,Susceptible,0.6625,0.8197500000000001,0.07790579246756946,0.9375
8,Infected,0.0125,0.1295,0.07744998386055352,0.275
8,Recovered_Immune,0.05,0.04999999999999999,1.3877787807814457e-17,0.05
8,Death,0.0,0.0007500000000000001,0.0029685855217594795,0.0125
8,Asymptomatic,0.975,0.9942499999999999,0.007586995452746749,1.0
8,Hospitalization,0.0,0.00375,0.005728219618694801,0.0125
8,Severe,0.0,0.00125,0.0037500000000000003,0.0125
8,Q1,494.2183440481343,582.0938254809367,53.71476722523978,693.0502056807562
8,Q2,969.3154595841839,1151.1429575587542,101.90814346221464,1400.8122613482803
8,Q3,1399.351632148539,1893.0477243830537,187.05285433678625,2354.89207757745
8,Q4,2233.326663088153,2835.541254132968,291.0265383660765,3599.731434874763
8,Q5,6089.005214321514,8190.140956681815,856.2825552052232,11080.3838968386
9,Susceptible,0.65,0.8035,0.08385403985497655,0.9375
